Mon,date,year,r1
9,23,2013,98
9,22,2013,24
9,21,2013,26
9,20,2013,55
9,19,2013,07
9,18,2013,27
9,17,2013,58
9,16,2013,01
9,15,2013,40
9,14,2013,41
9,13,2013,80
9,12,2013,71
9,11,2013,66
9,10,2013,59
9,09,2013,35
9,08,2013,37
9,07,2013,68
9,06,2013,46
9,05,2013,89
9,04,2013,97
9,03,2013,93
9,02,2013,41
9,01,2013,94
8,31,2013,46
8,30,2013,78
8,29,2013,36
8,28,2013,25
8,27,2013,20
8,26,2013,63
8,25,2013,43
8,24,2013,29
8,23,2013,29
8,22,2013,88
8,21,2013,02
8,20,2013,86
8,19,2013,27
8,18,2013,38
8,17,2013,04
8,16,2013,63
8,15,2013,26
8,14,2013,50
8,13,2013,60
8,12,2013,09
8,11,2013,14
8,10,2013,50
8,09,2013,23
8,08,2013,34
8,07,2013,91
8,06,2013,64
8,05,2013,39
8,04,2013,35
8,03,2013,31
8,02,2013,46
8,01,2013,53
7,31,2013,77
7,30,2013,47
7,29,2013,81
7,28,2013,67
7,27,2013,15
7,26,2013,79
7,25,2013,96
7,24,2013,61
7,23,2013,01
7,22,2013,27
7,21,2013,04
7,20,2013,21
7,19,2013,42
7,18,2013,19
7,17,2013,39
7,16,2013,29
7,15,2013,41
7,14,2013,04
7,13,2013,77
7,12,2013,41
7,11,2013,82
7,10,2013,40
7,09,2013,68
7,08,2013,56
7,07,2013,02
7,06,2013,57
7,05,2013,74
7,04,2013,32
7,03,2013,05
7,02,2013,02
7,01,2013,29
6,30,2013,76
6,29,2013,12
6,28,2013,53
6,27,2013,48
6,26,2013,68
6,25,2013,79
6,24,2013,05
6,23,2013,78
6,22,2013,65
6,21,2013,13
6,20,2013,58
6,19,2013,96
6,18,2013,22
6,17,2013,44
6,16,2013,39
6,15,2013,51
6,14,2013,83
6,13,2013,33
6,12,2013,86
6,11,2013,32
6,10,2013,18
6,09,2013,75
6,08,2013,48
6,07,2013,25
6,06,2013,34
6,05,2013,34
6,04,2013,25
6,03,2013,59
6,02,2013,14
6,01,2013,55
5,31,2013,60
5,30,2013,61
5,29,2013,27
5,28,2013,16
5,27,2013,32
5,26,2013,16
5,25,2013,54
5,24,2013,34
5,23,2013,85
5,22,2013,52
5,21,2013,87
5,20,2013,27
5,19,2013,30
5,18,2013,04
5,17,2013,20
5,16,2013,34
5,15,2013,77
5,14,2013,69
5,13,2013,89
5,12,2013,47
5,11,2013,26
5,10,2013,07
5,09,2013,58
5,08,2013,95
5,07,2013,57
5,06,2013,13
5,05,2013,50
5,04,2013,53
5,03,2013,89
5,02,2013,57
5,01,2013,79
4,30,2013,65
4,29,2013,02
4,28,2013,05
4,27,2013,28
4,26,2013,63
4,25,2013,77
4,24,2013,68
4,23,2013,63
4,22,2013,82
4,21,2013,32
4,20,2013,89
4,19,2013,91
4,18,2013,22
4,17,2013,60
4,16,2013,28
4,15,2013,02
4,14,2013,11
4,13,2013,60
4,12,2013,01
